die,avg_temp_c,max_temp_c
base_die_phy,116.61778372832121,121.96181640625002
base_die_tsva,113.59167320532147,119.11672363281252
base_die_da,117.08187763986211,121.95668945312502
dram_die_1,114.51508154536114,122.3275085449219
dram_die_2,114.2824002515795,122.31124267578127
dram_die_3,114.02777547710149,122.16256103515627
dram_die_4,113.7515403950463,121.91292724609377
dram_die_5,113.45329618593797,121.5644470214844
dram_die_6,113.13419861673013,121.11873779296877
dram_die_7,112.79306900299045,120.50338134765627
top_die,112.73608210855498,120.22524414062502
base_die,114.72042597510251,121.96181640625002
