die,avg_temp_c,max_temp_c
base_die_phy,202.40879771596306,215.32683715820315
base_die_tsva,174.9423073415895,200.7087341308594
base_die_da,172.71855705711178,181.6144958496094
dram_die_1,179.7159931286386,215.41436157226565
dram_die_2,179.2797504163367,214.86712036132815
dram_die_3,178.8023575866021,214.13924560546877
dram_die_4,178.28445613274155,213.28701171875002
dram_die_5,177.72528112792415,212.30574951171877
dram_die_6,177.1270247975861,211.20647583007815
dram_die_7,176.48744759901507,209.83916625976565
top_die,176.3802875043356,209.30422363281252
base_die,180.10204287379256,215.32683715820315
