die,avg_temp_c,max_temp_c
base_die_phy,215.31797781648012,230.19622192382815
base_die_tsva,173.02705057875428,210.29277954101565
base_die_da,163.81245219546315,172.4133239746094
dram_die_1,179.7162576597594,229.8449645996094
dram_die_2,179.2799982516375,228.9526306152344
dram_die_3,178.8025665353278,227.92452392578127
dram_die_4,178.28461855503537,226.81508789062502
dram_die_5,177.7253872444758,225.61409912109377
dram_die_6,177.12708934311456,224.33815917968752
dram_die_7,176.48748098571303,222.82732543945315
top_die,176.38013609249273,222.2833190917969
base_die,180.1030462688058,230.19622192382815
